"","StartDate","SiteID","Latitude","Longitude","Elevation","AphidCount","Julian_Day","Aphids_DD","New_hidro","dl","dlD","CumAphid","PrAphid"
"73",2020-06-30,"3A",46.55882,-117.12294,811,1,182,718.194245275913,9.76648846,15.5715944444444,15.6942,0.6875,0.03125
"74",2020-07-05,"3A",46.55882,-117.12294,811,8,187,770.429245275913,9.76648846,15.4933333333333,15.7724611111111,0.9375,0.25
"75",2020-07-10,"3A",46.55882,-117.12294,811,0,192,829.409245275913,9.76648846,15.3853777777778,15.8804166666667,0.9375,0
"76",2020-07-15,"3A",46.55882,-117.12294,811,2,197,893.866341783481,9.76648846,15.2498166666667,16.0159777777778,1,0.0625
"77",2020-06-10,"3B",46.62723,-117.26861,775,0,162,503.567168752136,5.7982733,15.5728138888889,15.5728138888889,0,0
"78",2020-06-15,"3B",46.62723,-117.26861,775,0,167,546.257168752136,5.7982733,15.6231166666667,15.6231166666667,0,0
"79",2020-06-21,"3B",46.62723,-117.26861,775,2,173,610.122168752136,5.7982733,15.6407888888889,15.6407888888889,0.2,0.2
"80",2020-06-25,"3B",46.62723,-117.26861,775,0,177,668.534383561528,5.7982733,15.6264111111111,15.6551666666667,0.2,0
"81",2020-06-30,"3B",46.62723,-117.26861,775,3,182,723.869389515565,5.7982733,15.5793277777778,15.70225,0.5,0.3
"82",2020-07-05,"3B",46.62723,-117.26861,775,2,187,775.694389515565,5.7982733,15.5008722222222,15.7807055555556,0.7,0.2
"83",2020-07-10,"3B",46.62723,-117.26861,775,3,192,834.484389515565,5.7982733,15.3926472222222,15.8889305555556,1,0.3
"84",2020-07-15,"3B",46.62723,-117.26861,775,0,197,898.129438038591,5.7982733,15.2567583333333,16.0248194444444,1,0
"85",2020-06-10,"3C",46.75264,-117.37599,719,5,162,513.322737536911,8.84858867,15.5883138888889,15.5883138888889,0.263157894736842,0.263157894736842
"86",2020-06-15,"3C",46.75264,-117.37599,719,3,167,556.767737536911,8.84858867,15.6388722222222,15.6388722222222,0.421052631578947,0.157894736842105
"87",2020-06-21,"3C",46.75264,-117.37599,719,7,173,621.452737536911,8.84858867,15.6566305555556,15.6566305555556,0.789473684210526,0.368421052631579
"88",2020-06-25,"3C",46.75264,-117.37599,719,4,177,680.058889201139,8.84858867,15.6421805555556,15.6710805555556,1,0.210526315789474
"89",2020-06-30,"3C",46.75264,-117.37599,719,0,182,737.039366051159,8.84858867,15.5948611111111,15.7184,1,0
"90",2020-07-05,"3C",46.75264,-117.37599,719,0,187,789.144366051158,8.84858867,15.5160083333333,15.7972527777778,1,0
"91",2020-07-10,"3C",46.75264,-117.37599,719,0,192,848.404366051158,8.84858867,15.4072472222222,15.9060138888889,1,0
"92",2020-07-15,"3C",46.75264,-117.37599,719,0,197,911.872152317923,8.84858867,15.2706944444444,16.0425666666667,1,0
"93",2020-06-01,"3D",46.73186,-117.14677,787,2,153,414.251985684157,20.27313008,15.4193083333333,15.4193083333333,0.125,0.125
"94",2020-06-05,"3D",46.73186,-117.14677,787,3,157,450.186985684157,20.27313008,15.5063611111111,15.5063611111111,0.3125,0.1875
"95",2020-06-10,"3D",46.73186,-117.14677,787,1,162,482.231985684157,20.27313008,15.5883138888889,15.5883138888889,0.375,0.0625
"96",2020-06-15,"3D",46.73186,-117.14677,787,0,167,523.531985684157,20.27313008,15.6388722222222,15.6388722222222,0.375,0
"97",2020-06-21,"3D",46.73186,-117.14677,787,2,173,585.531985684157,20.27313008,15.6566305555556,15.6566305555556,0.5,0.125
"98",2020-06-25,"3D",46.73186,-117.14677,787,0,177,642.152008886558,20.27313008,15.6421805555556,15.6710805555556,0.5,0
"99",2020-06-30,"3D",46.73186,-117.14677,787,0,182,696.041202512768,20.27313008,15.5948611111111,15.7184,0.5,0
"100",2020-07-05,"3D",46.73186,-117.14677,787,4,187,746.056202512768,20.27313008,15.5160083333333,15.7972527777778,0.75,0.25
"101",2020-07-10,"3D",46.73186,-117.14677,787,2,192,802.806202512768,20.27313008,15.4072472222222,15.9060138888889,0.875,0.125
"102",2020-07-15,"3D",46.73186,-117.14677,787,2,197,864.067822075718,20.27313008,15.2706944444444,16.0425666666667,1,0.125
"103",2020-06-10,"4A",46.54628,-117.06868,791,0,162,509.495570628485,12.77429394,15.5650972222222,15.5650972222222,0,0
"104",2020-06-15,"4A",46.54628,-117.06868,791,1,167,552.005570628485,12.77429394,15.6152722222222,15.6152722222222,0.2,0.2
"105",2020-06-21,"4A",46.54628,-117.06868,791,1,173,616.655570628485,12.77429394,15.6328972222222,15.6328972222222,0.4,0.2
"106",2020-06-25,"4A",46.54628,-117.06868,791,0,177,675.979403654037,12.77429394,15.6185555555556,15.6472388888889,0.4,0
"107",2020-06-30,"4A",46.54628,-117.06868,791,0,182,730.314448629312,12.77429394,15.5715944444444,15.6942,0.4,0
"108",2020-07-05,"4A",46.54628,-117.06868,791,2,187,783.429448629312,12.77429394,15.4933333333333,15.7724611111111,0.8,0.4
"109",2020-07-10,"4A",46.54628,-117.06868,791,1,192,843.274448629312,12.77429394,15.3853777777778,15.8804166666667,1,0.2
"110",2020-07-15,"4A",46.54628,-117.06868,791,0,197,908.591162917582,12.77429394,15.2498166666667,16.0159777777778,1,0
"111",2020-06-10,"4B",46.67646,-117.271,732,2,162,516.189026310917,9.08010614,15.5805527777778,15.5805527777778,0.153846153846154,0.153846153846154
"112",2020-06-15,"4B",46.67646,-117.271,732,3,167,559.714026310917,9.08010614,15.6309833333333,15.6309833333333,0.384615384615385,0.230769230769231
"113",2020-06-21,"4B",46.67646,-117.271,732,4,173,624.534026310917,9.08010614,15.6487,15.6487,0.692307692307692,0.307692307692308
"114",2020-06-25,"4B",46.67646,-117.271,732,0,177,683.036807729968,9.08010614,15.6342861111111,15.6631138888889,0.692307692307692,0
"115",2020-06-30,"4B",46.67646,-117.271,732,1,182,739.514974371727,9.08010614,15.5870833333333,15.7103166666667,0.769230769230769,0.0769230769230769
"116",2020-07-05,"4B",46.67646,-117.271,732,1,187,791.799974371727,9.08010614,15.5084305555556,15.7889694444444,0.846153846153846,0.0769230769230769
"117",2020-07-10,"4B",46.67646,-117.271,732,0,192,851.114974371727,9.08010614,15.3999388888889,15.8974611111111,0.846153846153846,0
"118",2020-07-15,"4B",46.67646,-117.271,732,2,197,914.881163255641,9.08010614,15.2637166666667,16.0336833333333,1,0.153846153846154
"119",2020-06-10,"4C",46.63866,-117.13847,808,0,162,486.471213535133,13.41100029,15.5805527777778,15.5805527777778,0,0
"120",2020-06-15,"4C",46.63866,-117.13847,808,0,167,527.861213535133,13.41100029,15.6309833333333,15.6309833333333,0,0
"121",2020-06-21,"4C",46.63866,-117.13847,808,2,173,590.391213535133,13.41100029,15.6487,15.6487,0.222222222222222,0.222222222222222
"122",2020-06-25,"4C",46.63866,-117.13847,808,0,177,647.984573544915,13.41100029,15.6342861111111,15.6631138888889,0.222222222222222,0
"123",2020-06-30,"4C",46.63866,-117.13847,808,3,182,701.559731519332,13.41100029,15.5870833333333,15.7103166666667,0.555555555555556,0.333333333333333
"124",2020-07-05,"4C",46.63866,-117.13847,808,3,187,752.454731519332,13.41100029,15.5084305555556,15.7889694444444,0.888888888888889,0.333333333333333
"125",2020-07-10,"4C",46.63866,-117.13847,808,0,192,810.114731519332,13.41100029,15.3999388888889,15.8974611111111,0.888888888888889,0
"126",2020-07-15,"4C",46.63866,-117.13847,808,1,197,872.845873194194,13.41100029,15.2637166666667,16.0336833333333,1,0.111111111111111
"127",2020-06-01,"4D",46.73317,-117.14899,787,3,153,414.251985684157,20.18856276,15.4193083333333,15.4193083333333,0.166666666666667,0.166666666666667
"128",2020-06-05,"4D",46.73317,-117.14899,787,1,157,450.186985684157,20.18856276,15.5063611111111,15.5063611111111,0.222222222222222,0.0555555555555556
"129",2020-06-10,"4D",46.73317,-117.14899,787,2,162,482.231985684157,20.18856276,15.5883138888889,15.5883138888889,0.333333333333333,0.111111111111111
"130",2020-06-15,"4D",46.73317,-117.14899,787,1,167,523.531985684157,20.18856276,15.6388722222222,15.6388722222222,0.388888888888889,0.0555555555555556
"131",2020-06-21,"4D",46.73317,-117.14899,787,1,173,585.531985684157,20.18856276,15.6566305555556,15.6566305555556,0.444444444444444,0.0555555555555556
"132",2020-06-25,"4D",46.73317,-117.14899,787,1,177,642.152008886558,20.18856276,15.6421805555556,15.6710805555556,0.5,0.0555555555555556
"133",2020-06-30,"4D",46.73317,-117.14899,787,4,182,696.041202512768,20.18856276,15.5948611111111,15.7184,0.722222222222222,0.222222222222222
"134",2020-07-05,"4D",46.73317,-117.14899,787,4,187,746.056202512768,20.18856276,15.5160083333333,15.7972527777778,0.944444444444444,0.222222222222222
"135",2020-07-10,"4D",46.73317,-117.14899,787,0,192,802.806202512768,20.18856276,15.4072472222222,15.9060138888889,0.944444444444444,0
"136",2020-07-15,"4D",46.73317,-117.14899,787,1,197,864.067822075718,20.18856276,15.2706944444444,16.0425666666667,1,0.0555555555555556
"137",2020-06-10,"5A",46.49343,-117.07507,848,5,162,491.973533466897,7.05896595,15.5573972222222,15.5573972222222,0.0961538461538462,0.0961538461538462
"138",2020-06-15,"5A",46.49343,-117.07507,848,1,167,533.388533466897,7.05896595,15.6074472222222,15.6074472222222,0.115384615384615,0.0192307692307692
"139",2020-06-21,"5A",46.49343,-117.07507,848,6,173,596.688533466897,7.05896595,15.6250305555556,15.6250305555556,0.230769230769231,0.115384615384615
"140",2020-06-25,"5A",46.49343,-117.07507,848,7,177,655.982231829173,7.05896595,15.610725,15.6393361111111,0.365384615384615,0.134615384615385
"141",2020-06-30,"5A",46.49343,-117.07507,848,6,182,708.880699405763,7.05896595,15.5638805555556,15.6861805555556,0.480769230769231,0.115384615384615
"142",2020-07-05,"5A",46.49343,-117.07507,848,20,187,761.440699405763,7.05896595,15.4858138888889,15.7642472222222,0.865384615384615,0.384615384615385
"143",2020-07-10,"5A",46.49343,-117.07507,848,3,192,820.645699405763,7.05896595,15.3781222222222,15.8719388888889,0.923076923076923,0.0576923076923077
"144",2020-07-15,"5A",46.49343,-117.07507,848,4,197,885.786247590031,7.05896595,15.2428944444444,16.0071666666667,1,0.0769230769230769
"145",2020-06-10,"5B",46.68961,-117.27783,728,4,162,516.795360648589,9.21737579,15.5805527777778,15.5805527777778,0.19047619047619,0.19047619047619
"146",2020-06-15,"5B",46.68961,-117.27783,728,2,167,560.375360648589,9.21737579,15.6309833333333,15.6309833333333,0.285714285714286,0.0952380952380952
"147",2020-06-21,"5B",46.68961,-117.27783,728,13,173,625.235360648589,9.21737579,15.6487,15.6487,0.904761904761905,0.619047619047619
"148",2020-06-25,"5B",46.68961,-117.27783,728,0,177,683.70055836227,9.21737579,15.6342861111111,15.6631138888889,0.904761904761905,0
"149",2020-06-30,"5B",46.68961,-117.27783,728,0,182,740.284220436938,9.21737579,15.5870833333333,15.7103166666667,0.904761904761905,0
"150",2020-07-05,"5B",46.68961,-117.27783,728,2,187,792.544220436938,9.21737579,15.5084305555556,15.7889694444444,1,0.0952380952380952
"151",2020-07-10,"5B",46.68961,-117.27783,728,0,192,851.829220436938,9.21737579,15.3999388888889,15.8974611111111,1,0
"152",2020-07-15,"5B",46.68961,-117.27783,728,0,197,915.53777810227,9.21737579,15.2637166666667,16.0336833333333,1,0
"153",2020-06-10,"5C",46.62224,-117.16618,828,0,162,479.637268572821,10.61348021,15.5728138888889,15.5728138888889,0,0
"154",2020-06-15,"5C",46.62224,-117.16618,828,0,167,520.602268572821,10.61348021,15.6231166666667,15.6231166666667,0,0
"155",2020-06-21,"5C",46.62224,-117.16618,828,3,173,582.602268572821,10.61348021,15.6407888888889,15.6407888888889,0.3,0.3
"156",2020-06-25,"5C",46.62224,-117.16618,828,2,177,640.150144570044,10.61348021,15.6264111111111,15.6551666666667,0.5,0.2
"157",2020-06-30,"5C",46.62224,-117.16618,828,2,182,693.265267732339,10.61348021,15.5793277777778,15.70225,0.7,0.2
"158",2020-07-05,"5C",46.62224,-117.16618,828,2,187,743.870267732339,10.61348021,15.5008722222222,15.7807055555556,0.9,0.2
"159",2020-07-10,"5C",46.62224,-117.16618,828,0,192,801.250267732339,10.61348021,15.3926472222222,15.8889305555556,0.9,0
"160",2020-07-15,"5C",46.62224,-117.16618,828,1,197,863.826464540015,10.61348021,15.2567583333333,16.0248194444444,1,0.1
"161",2020-06-01,"5D",46.7347,-117.15034,787,1,153,414.251985684157,20.1763234,15.4193083333333,15.4193083333333,0.0526315789473684,0.0526315789473684
"162",2020-06-05,"5D",46.7347,-117.15034,787,1,157,450.186985684157,20.1763234,15.5063611111111,15.5063611111111,0.105263157894737,0.0526315789473684
"163",2020-06-10,"5D",46.7347,-117.15034,787,5,162,482.231985684157,20.1763234,15.5883138888889,15.5883138888889,0.368421052631579,0.263157894736842
"164",2020-06-15,"5D",46.7347,-117.15034,787,2,167,523.531985684157,20.1763234,15.6388722222222,15.6388722222222,0.473684210526316,0.105263157894737
"165",2020-06-21,"5D",46.7347,-117.15034,787,2,173,585.531985684157,20.1763234,15.6566305555556,15.6566305555556,0.578947368421053,0.105263157894737
"166",2020-06-25,"5D",46.7347,-117.15034,787,2,177,642.152008886558,20.1763234,15.6421805555556,15.6710805555556,0.684210526315789,0.105263157894737
"167",2020-06-30,"5D",46.7347,-117.15034,787,3,182,696.041202512768,20.1763234,15.5948611111111,15.7184,0.842105263157895,0.157894736842105
"168",2020-07-05,"5D",46.7347,-117.15034,787,2,187,746.056202512768,20.1763234,15.5160083333333,15.7972527777778,0.947368421052632,0.105263157894737
"169",2020-07-10,"5D",46.7347,-117.15034,787,1,192,802.806202512768,20.1763234,15.4072472222222,15.9060138888889,1,0.0526315789473684
"170",2020-07-15,"5D",46.7347,-117.15034,787,0,197,864.067822075718,20.1763234,15.2706944444444,16.0425666666667,1,0
"171",2020-06-10,"6A",46.45234,-117.2057,326,0,162,784.46089467373,0.07,15.5497194444444,15.5497194444444,0,0
"172",2020-06-21,"6A",46.45234,-117.2057,326,5,173,925.52123384636,0.07,15.6171805555556,15.6171805555556,0.333333333333333,0.333333333333333
"173",2020-06-25,"6A",46.45234,-117.2057,326,3,177,992.048138619845,0.07,15.6029111111111,15.63145,0.533333333333333,0.2
"174",2020-06-30,"6A",46.45234,-117.2057,326,7,182,1063.22436169011,0.07,15.5561833333333,15.6781777777778,1,0.466666666666667
"175",2020-07-05,"6A",46.45234,-117.2057,326,0,187,1129.63938405292,0.07,15.4783138888889,15.7560472222222,1,0
"176",2020-07-10,"6A",46.45234,-117.2057,326,0,192,1203.05823849516,0.07,15.3708888888889,15.8634722222222,1,0
"177",2020-07-15,"6A",46.45234,-117.2057,326,0,197,1279.63254558635,0.07,15.2359861111111,15.998375,1,0
"178",2020-06-10,"6B",46.70697,-117.26723,768,13,162,495.287248062063,10.92926749,15.5883138888889,15.5883138888889,0.565217391304348,0.565217391304348
"179",2020-06-15,"6B",46.70697,-117.26723,768,1,167,537.507248062063,10.92926749,15.6388722222222,15.6388722222222,0.608695652173913,0.0434782608695652
"180",2020-06-21,"6B",46.70697,-117.26723,768,8,173,600.727248062063,10.92926749,15.6566305555556,15.6566305555556,0.956521739130435,0.347826086956522
"181",2020-06-25,"6B",46.70697,-117.26723,768,0,177,658.499416468112,10.92926749,15.6421805555556,15.6710805555556,0.956521739130435,0
"182",2020-06-30,"6B",46.70697,-117.26723,768,1,182,713.633658370003,10.92926749,15.5948611111111,15.7184,1,0.0434782608695652
"183",2020-07-05,"6B",46.70697,-117.26723,768,0,187,764.698658370003,10.92926749,15.5160083333333,15.7972527777778,1,0
"184",2020-07-10,"6B",46.70697,-117.26723,768,0,192,822.733658370003,10.92926749,15.4072472222222,15.9060138888889,1,0
"185",2020-07-15,"6B",46.70697,-117.26723,768,0,197,885.322583786717,10.92926749,15.2706944444444,16.0425666666667,1,0
"186",2020-06-10,"6C",46.7301,-117.30383,721,5,162,513.770078860485,10.6757706,15.5883138888889,15.5883138888889,0.0909090909090909,0.0909090909090909
"187",2020-06-15,"6C",46.7301,-117.30383,721,5,167,557.190078860485,10.6757706,15.6388722222222,15.6388722222222,0.181818181818182,0.0909090909090909
"188",2020-06-21,"6C",46.7301,-117.30383,721,23,173,621.855078860485,10.6757706,15.6566305555556,15.6566305555556,0.6,0.418181818181818
"189",2020-06-25,"6C",46.7301,-117.30383,721,2,177,680.219400771792,10.6757706,15.6421805555556,15.6710805555556,0.636363636363636,0.0363636363636364
"190",2020-06-30,"6C",46.7301,-117.30383,721,6,182,736.902940112595,10.6757706,15.5948611111111,15.7184,0.745454545454545,0.109090909090909
"191",2020-07-05,"6C",46.7301,-117.30383,721,8,187,788.967940112595,10.6757706,15.5160083333333,15.7972527777778,0.890909090909091,0.145454545454545
"192",2020-07-10,"6C",46.7301,-117.30383,721,3,192,848.092940112595,10.6757706,15.4072472222222,15.9060138888889,0.945454545454545,0.0545454545454545
"193",2020-07-15,"6C",46.7301,-117.30383,721,3,197,911.459821205761,10.6757706,15.2706944444444,16.0425666666667,1,0.0545454545454545
"194",2020-06-01,"6D",46.73579,-117.14744,787,0,153,414.251985684157,20.42891659,15.4193083333333,15.4193083333333,0,0
"195",2020-06-05,"6D",46.73579,-117.14744,787,3,157,450.186985684157,20.42891659,15.5063611111111,15.5063611111111,0.176470588235294,0.176470588235294
"196",2020-06-10,"6D",46.73579,-117.14744,787,0,162,482.231985684157,20.42891659,15.5883138888889,15.5883138888889,0.176470588235294,0
"197",2020-06-15,"6D",46.73579,-117.14744,787,1,167,523.531985684157,20.42891659,15.6388722222222,15.6388722222222,0.235294117647059,0.0588235294117647
"198",2020-06-21,"6D",46.73579,-117.14744,787,1,173,585.531985684157,20.42891659,15.6566305555556,15.6566305555556,0.294117647058824,0.0588235294117647
"199",2020-06-25,"6D",46.73579,-117.14744,787,1,177,642.152008886558,20.42891659,15.6421805555556,15.6710805555556,0.352941176470588,0.0588235294117647
"200",2020-06-30,"6D",46.73579,-117.14744,787,2,182,696.041202512768,20.42891659,15.5948611111111,15.7184,0.470588235294118,0.117647058823529
"201",2020-07-05,"6D",46.73579,-117.14744,787,1,187,746.056202512768,20.42891659,15.5160083333333,15.7972527777778,0.529411764705882,0.0588235294117647
"202",2020-07-10,"6D",46.73579,-117.14744,787,6,192,802.806202512768,20.42891659,15.4072472222222,15.9060138888889,0.882352941176471,0.352941176470588
"203",2020-07-15,"6D",46.73579,-117.14744,787,2,197,864.067822075718,20.42891659,15.2706944444444,16.0425666666667,1,0.117647058823529
